Datum deutsch	Nacht	Tag	Nacht	Sunrise Sommerzeit	Sunset Sommerzeit	Datum englisch
09.05.2019	05:24:34	15:33:46	03:01:40	05:24:34	20:58:20	2019-05-09
10.05.2019	05:22:44	15:37:20	02:59:56	05:22:44	21:00:04	2019-05-10
11.05.2019	05:20:56	15:40:52	02:58:12	05:20:56	21:01:48	2019-05-11
12.05.2019	05:19:10	15:44:20	02:56:30	05:19:10	21:03:30	2019-05-12
13.05.2019	05:17:26	15:47:46	02:54:48	05:17:26	21:05:12	2019-05-13
14.05.2019	05:15:44	15:51:09	02:53:07	05:15:44	21:06:53	2019-05-14
15.05.2019	05:14:04	15:54:29	02:51:27	05:14:04	21:08:33	2019-05-15
16.05.2019	05:12:26	15:57:46	02:49:48	05:12:26	21:10:12	2019-05-16
17.05.2019	05:10:50	16:01:00	02:48:10	05:10:50	21:11:50	2019-05-17
18.05.2019	05:09:16	16:04:11	02:46:33	05:09:16	21:13:27	2019-05-18
19.05.2019	05:07:45	16:07:18	02:44:57	05:07:45	21:15:03	2019-05-19
20.05.2019	05:06:16	16:10:21	02:43:23	05:06:16	21:16:37	2019-05-20
21.05.2019	05:04:49	16:13:21	02:41:50	05:04:49	21:18:10	2019-05-21
22.05.2019	05:03:25	16:16:17	02:40:18	05:03:25	21:19:42	2019-05-22
23.05.2019	05:02:03	16:19:09	02:38:48	05:02:03	21:21:12	2019-05-23
24.05.2019	05:00:43	16:21:57	02:37:20	05:00:43	21:22:40	2019-05-24
25.05.2019	04:59:27	16:24:40	02:35:53	04:59:27	21:24:07	2019-05-25
26.05.2019	04:58:13	16:27:19	02:34:28	04:58:13	21:25:32	2019-05-26
27.05.2019	04:57:01	16:29:54	02:33:05	04:57:01	21:26:55	2019-05-27
28.05.2019	04:55:53	16:32:24	02:31:43	04:55:53	21:28:17	2019-05-28
29.05.2019	04:54:47	16:34:49	02:30:24	04:54:47	21:29:36	2019-05-29
30.05.2019	04:53:44	16:37:10	02:29:06	04:53:44	21:30:54	2019-05-30
31.05.2019	04:52:44	16:39:25	02:27:51	04:52:44	21:32:09	2019-05-31
01.06.2019	04:51:47	16:41:35	02:26:38	04:51:47	21:33:22	2019-06-01
02.06.2019	04:50:54	16:43:39	02:25:27	04:50:54	21:34:33	2019-06-02
03.06.2019	04:50:03	16:45:38	02:24:19	04:50:03	21:35:41	2019-06-03
04.06.2019	04:49:15	16:47:32	02:23:13	04:49:15	21:36:47	2019-06-04
05.06.2019	04:48:31	16:49:19	02:22:10	04:48:31	21:37:50	2019-06-05
06.06.2019	04:47:49	16:51:02	02:21:09	04:47:49	21:38:51	2019-06-06
07.06.2019	04:47:11	16:52:38	02:20:11	04:47:11	21:39:49	2019-06-07
08.06.2019	04:46:37	16:54:07	02:19:16	04:46:37	21:40:44	2019-06-08
09.06.2019	04:46:05	16:55:32	02:18:23	04:46:05	21:41:37	2019-06-09
10.06.2019	04:45:37	16:56:49	02:17:34	04:45:37	21:42:26	2019-06-10
11.06.2019	04:45:12	16:58:01	02:16:47	04:45:12	21:43:13	2019-06-11
12.06.2019	04:44:51	16:59:06	02:16:03	04:44:51	21:43:57	2019-06-12
13.06.2019	04:44:33	17:00:04	02:15:23	04:44:33	21:44:37	2019-06-13
14.06.2019	04:44:19	17:00:56	02:14:45	04:44:19	21:45:15	2019-06-14
15.06.2019	04:44:08	17:01:41	02:14:11	04:44:08	21:45:49	2019-06-15
16.06.2019	04:44:00	17:02:20	02:13:40	04:44:00	21:46:20	2019-06-16
17.06.2019	04:43:56	17:02:51	02:13:13	04:43:56	21:46:47	2019-06-17
18.06.2019	04:43:55	17:03:17	02:12:48	04:43:55	21:47:12	2019-06-18
19.06.2019	04:43:58	17:03:35	02:12:27	04:43:58	21:47:33	2019-06-19
20.06.2019	04:44:04	17:03:46	02:12:10	04:44:04	21:47:50	2019-06-20
21.06.2019	04:44:14	17:03:51	02:11:55	04:44:14	21:48:05	2019-06-21
22.06.2019	04:44:27	17:03:48	02:11:45	04:44:27	21:48:15	2019-06-22
23.06.2019	04:44:43	17:03:40	02:11:37	04:44:43	21:48:23	2019-06-23
24.06.2019	04:45:02	17:03:24	02:11:34	04:45:02	21:48:26	2019-06-24
25.06.2019	04:45:25	17:03:02	02:11:33	04:45:25	21:48:27	2019-06-25
26.06.2019	04:45:52	17:02:32	02:11:36	04:45:52	21:48:24	2019-06-26
27.06.2019	04:46:21	17:01:56	02:11:43	04:46:21	21:48:17	2019-06-27
28.06.2019	04:46:54	17:01:13	02:11:53	04:46:54	21:48:07	2019-06-28
29.06.2019	04:47:29	17:00:24	02:12:07	04:47:29	21:47:53	2019-06-29
30.06.2019	04:48:08	16:59:28	02:12:24	04:48:08	21:47:36	2019-06-30
01.07.2019	04:48:50	16:58:25	02:12:45	04:48:50	21:47:15	2019-07-01
02.07.2019	04:49:35	16:57:16	02:13:09	04:49:35	21:46:51	2019-07-02
03.07.2019	04:50:22	16:56:02	02:13:36	04:50:22	21:46:24	2019-07-03
04.07.2019	04:51:13	16:54:40	02:14:07	04:51:13	21:45:53	2019-07-04
05.07.2019	04:52:06	16:53:13	02:14:41	04:52:06	21:45:19	2019-07-05
06.07.2019	04:53:02	16:51:40	02:15:18	04:53:02	21:44:42	2019-07-06
07.07.2019	04:54:01	16:50:00	02:15:59	04:54:01	21:44:01	2019-07-07
08.07.2019	04:55:02	16:48:15	02:16:43	04:55:02	21:43:17	2019-07-08
09.07.2019	04:56:05	16:46:25	02:17:30	04:56:05	21:42:30	2019-07-09
10.07.2019	04:57:11	16:44:28	02:18:21	04:57:11	21:41:39	2019-07-10
11.07.2019	04:58:20	16:42:26	02:19:14	04:58:20	21:40:46	2019-07-11
12.07.2019	04:59:30	16:40:19	02:20:11	04:59:30	21:39:49	2019-07-12
13.07.2019	05:00:43	16:38:06	02:21:11	05:00:43	21:38:49	2019-07-13
14.07.2019	05:01:58	16:35:49	02:22:13	05:01:58	21:37:47	2019-07-14
15.07.2019	05:03:14	16:33:27	02:23:19	05:03:14	21:36:41	2019-07-15
16.07.2019	05:04:33	16:31:00	02:24:27	05:04:33	21:35:33	2019-07-16
17.07.2019	05:05:53	16:28:29	02:25:38	05:05:53	21:34:22	2019-07-17
18.07.2019	05:07:16	16:25:52	02:26:52	05:07:16	21:33:08	2019-07-18
19.07.2019	05:08:39	16:23:12	02:28:09	05:08:39	21:31:51	2019-07-19
20.07.2019	05:10:05	16:20:27	02:29:28	05:10:05	21:30:32	2019-07-20
21.07.2019	05:11:32	16:17:39	02:30:49	05:11:32	21:29:11	2019-07-21
22.07.2019	05:13:00	16:14:46	02:32:14	05:13:00	21:27:46	2019-07-22
23.07.2019	05:14:30	16:11:49	02:33:41	05:14:30	21:26:19	2019-07-23
24.07.2019	05:16:01	16:08:49	02:35:10	05:16:01	21:24:50	2019-07-24
25.07.2019	05:17:33	16:05:46	02:36:41	05:17:33	21:23:19	2019-07-25
26.07.2019	05:19:07	16:02:38	02:38:15	05:19:07	21:21:45	2019-07-26
27.07.2019	05:20:41	15:59:28	02:39:51	05:20:41	21:20:09	2019-07-27
28.07.2019	05:22:17	15:56:14	02:41:29	05:22:17	21:18:31	2019-07-28
29.07.2019	05:23:53	15:52:58	02:43:09	05:23:53	21:16:51	2019-07-29
30.07.2019	05:25:31	15:49:37	02:44:52	05:25:31	21:15:08	2019-07-30
31.07.2019	05:27:09	15:46:15	02:46:36	05:27:09	21:13:24	2019-07-31
01.08.2019	05:28:48	15:42:50	02:48:22	05:28:48	21:11:38	2019-08-01
02.08.2019	05:30:28	15:39:22	02:50:10	05:30:28	21:09:50	2019-08-02
03.08.2019	05:32:08	15:35:52	02:52:00	05:32:08	21:08:00	2019-08-03
04.08.2019	05:33:49	15:32:19	02:53:52	05:33:49	21:06:08	2019-08-04
05.08.2019	05:35:30	15:28:45	02:55:45	05:35:30	21:04:15	2019-08-05
06.08.2019	05:37:12	15:25:08	02:57:40	05:37:12	21:02:20	2019-08-06
07.08.2019	05:38:55	15:21:28	02:59:37	05:38:55	21:00:23	2019-08-07
08.08.2019	05:40:37	15:17:48	03:01:35	05:40:37	20:58:25	2019-08-08
09.08.2019	05:42:21	15:14:04	03:03:35	05:42:21	20:56:25	2019-08-09
10.08.2019	05:44:04	15:10:20	03:05:36	05:44:04	20:54:24	2019-08-10
11.08.2019	05:45:48	15:06:33	03:07:39	05:45:48	20:52:21	2019-08-11
12.08.2019	05:47:32	15:02:45	03:09:43	05:47:32	20:50:17	2019-08-12
13.08.2019	05:49:17	14:58:55	03:11:48	05:49:17	20:48:12	2019-08-13
14.08.2019	05:51:01	14:55:04	03:13:55	05:51:01	20:46:05	2019-08-14
15.08.2019	05:52:46	14:51:11	03:16:03	05:52:46	20:43:57	2019-08-15
16.08.2019	05:54:31	14:47:17	03:18:12	05:54:31	20:41:48	2019-08-16
17.08.2019	05:56:16	14:43:22	03:20:22	05:56:16	20:39:38	2019-08-17
18.08.2019	05:58:01	14:39:26	03:22:33	05:58:01	20:37:27	2019-08-18
19.08.2019	05:59:46	14:35:29	03:24:45	05:59:46	20:35:15	2019-08-19
20.08.2019	06:01:31	14:31:30	03:26:59	06:01:31	20:33:01	2019-08-20
21.08.2019	06:03:17	14:27:30	03:29:13	06:03:17	20:30:47	2019-08-21
22.08.2019	06:05:02	14:23:30	03:31:28	06:05:02	20:28:32	2019-08-22
23.08.2019	06:06:47	14:19:29	03:33:44	06:06:47	20:26:16	2019-08-23
24.08.2019	06:08:33	14:15:26	03:36:01	06:08:33	20:23:59	2019-08-24
25.08.2019	06:10:18	14:11:23	03:38:19	06:10:18	20:21:41	2019-08-25
26.08.2019	06:12:03	14:07:19	03:40:38	06:12:03	20:19:22	2019-08-26
27.08.2019	06:13:49	14:03:14	03:42:57	06:13:49	20:17:03	2019-08-27
28.08.2019	06:15:34	13:59:09	03:45:17	06:15:34	20:14:43	2019-08-28
29.08.2019	06:17:19	13:55:03	03:47:38	06:17:19	20:12:22	2019-08-29
30.08.2019	06:19:05	13:50:55	03:50:00	06:19:05	20:10:00	2019-08-30
31.08.2019	06:20:50	13:46:48	03:52:22	06:20:50	20:07:38	2019-08-31
01.09.2019	06:22:35	13:42:41	03:54:44	06:22:35	20:05:16	2019-09-01
02.09.2019	06:24:20	13:38:33	03:57:07	06:24:20	20:02:53	2019-09-02
03.09.2019	06:26:05	13:34:24	03:59:31	06:26:05	20:00:29	2019-09-03
04.09.2019	06:27:50	13:30:15	04:01:55	06:27:50	19:58:05	2019-09-04
05.09.2019	06:29:35	13:26:05	04:04:20	06:29:35	19:55:40	2019-09-05
06.09.2019	06:31:20	13:21:55	04:06:45	06:31:20	19:53:15	2019-09-06
07.09.2019	06:33:05	13:17:45	04:09:10	06:33:05	19:50:50	2019-09-07
08.09.2019	06:34:50	13:13:34	04:11:36	06:34:50	19:48:24	2019-09-08
09.09.2019	06:36:35	13:09:23	04:14:02	06:36:35	19:45:58	2019-09-09
10.09.2019	06:38:20	13:05:11	04:16:29	06:38:20	19:43:31	2019-09-10
11.09.2019	06:40:05	13:01:00	04:18:55	06:40:05	19:41:05	2019-09-11
12.09.2019	06:41:50	12:56:48	04:21:22	06:41:50	19:38:38	2019-09-12
13.09.2019	06:43:35	12:52:36	04:23:49	06:43:35	19:36:11	2019-09-13
14.09.2019	06:45:20	12:48:23	04:26:17	06:45:20	19:33:43	2019-09-14
15.09.2019	06:47:05	12:44:11	04:28:44	06:47:05	19:31:16	2019-09-15
16.09.2019	06:48:50	12:39:58	04:31:12	06:48:50	19:28:48	2019-09-16
17.09.2019	06:50:35	12:35:45	04:33:40	06:50:35	19:26:20	2019-09-17
18.09.2019	06:52:20	12:31:33	04:36:07	06:52:20	19:23:53	2019-09-18
19.09.2019	06:54:05	12:27:20	04:38:35	06:54:05	19:21:25	2019-09-19
20.09.2019	06:55:51	12:23:06	04:41:03	06:55:51	19:18:57	2019-09-20
21.09.2019	06:57:36	12:18:53	04:43:31	06:57:36	19:16:29	2019-09-21
22.09.2019	06:59:22	12:14:40	04:45:58	06:59:22	19:14:02	2019-09-22
23.09.2019	07:01:08	12:10:26	04:48:26	07:01:08	19:11:34	2019-09-23
24.09.2019	07:02:54	12:06:12	04:50:54	07:02:54	19:09:06	2019-09-24
25.09.2019	07:04:40	12:01:59	04:53:21	07:04:40	19:06:39	2019-09-25
26.09.2019	07:06:26	11:57:46	04:55:48	07:06:26	19:04:12	2019-09-26
27.09.2019	07:08:12	11:53:33	04:58:15	07:08:12	19:01:45	2019-09-27
28.09.2019	07:09:59	11:49:19	05:00:42	07:09:59	18:59:18	2019-09-28
29.09.2019	07:11:46	11:45:05	05:03:09	07:11:46	18:56:51	2019-09-29
30.09.2019	07:13:33	11:40:52	05:05:35	07:13:33	18:54:25	2019-09-30
01.10.2019	07:15:20	11:36:39	05:08:01	07:15:20	18:51:59	2019-10-01
02.10.2019	07:17:08	11:32:25	05:10:27	07:17:08	18:49:33	2019-10-02
03.10.2019	07:18:55	11:28:13	05:12:52	07:18:55	18:47:08	2019-10-03
04.10.2019	07:20:43	11:24:00	05:15:17	07:20:43	18:44:43	2019-10-04
05.10.2019	07:22:32	11:19:47	05:17:41	07:22:32	18:42:19	2019-10-05
06.10.2019	07:24:20	11:15:35	05:20:05	07:24:20	18:39:55	2019-10-06
07.10.2019	07:26:09	11:11:22	05:22:29	07:26:09	18:37:31	2019-10-07
08.10.2019	07:27:58	11:07:10	05:24:52	07:27:58	18:35:08	2019-10-08
09.10.2019	07:29:48	11:02:58	05:27:14	07:29:48	18:32:46	2019-10-09
10.10.2019	07:31:37	10:58:47	05:29:36	07:31:37	18:30:24	2019-10-10
11.10.2019	07:33:27	10:54:36	05:31:57	07:33:27	18:28:03	2019-10-11
12.10.2019	07:35:18	10:50:24	05:34:18	07:35:18	18:25:42	2019-10-12
13.10.2019	07:37:09	10:46:13	05:36:38	07:37:09	18:23:22	2019-10-13
14.10.2019	07:39:00	10:42:03	05:38:57	07:39:00	18:21:03	2019-10-14
15.10.2019	07:40:51	10:37:54	05:41:15	07:40:51	18:18:45	2019-10-15
16.10.2019	07:42:42	10:33:45	05:43:33	07:42:42	18:16:27	2019-10-16
17.10.2019	07:44:34	10:29:37	05:45:49	07:44:34	18:14:11	2019-10-17
18.10.2019	07:46:27	10:25:28	05:48:05	07:46:27	18:11:55	2019-10-18
19.10.2019	07:48:19	10:21:21	05:50:20	07:48:19	18:09:40	2019-10-19
20.10.2019	07:50:12	10:17:14	05:52:34	07:50:12	18:07:26	2019-10-20
21.10.2019	07:52:05	10:13:08	05:54:47	07:52:05	18:05:13	2019-10-21
22.10.2019	07:53:59	10:09:02	05:56:59	07:53:59	18:03:01	2019-10-22
23.10.2019	07:55:52	10:04:58	05:59:10	07:55:52	18:00:50	2019-10-23
24.10.2019	07:57:46	10:00:54	06:01:20	07:57:46	17:58:40	2019-10-24
25.10.2019	07:59:41	09:56:51	06:03:28	07:59:41	17:56:32	2019-10-25
26.10.2019	08:01:35	09:52:49	06:05:36	08:01:35	17:54:24	2019-10-26
27.10.2019	08:03:30	09:48:48	06:07:42	08:03:30	17:52:18	2019-10-27
28.10.2019	08:05:25	09:44:49	06:09:46	08:05:25	17:50:14	2019-10-28
29.10.2019	08:07:20	09:40:50	06:11:50	08:07:20	17:48:10	2019-10-29
30.10.2019	08:09:15	09:36:53	06:13:52	08:09:15	17:46:08	2019-10-30
31.10.2019	08:11:10	09:32:58	06:15:52	08:11:10	17:44:08	2019-10-31
01.11.2019	08:13:06	09:29:02	06:17:52	08:13:06	17:42:08	2019-11-01
02.11.2019	08:15:01	09:25:10	06:19:49	08:15:01	17:40:11	2019-11-02
03.11.2019	08:16:57	09:21:18	06:21:45	08:16:57	17:38:15	2019-11-03
04.11.2019	08:18:52	09:17:29	06:23:39	08:18:52	17:36:21	2019-11-04
05.11.2019	08:20:48	09:13:40	06:25:32	08:20:48	17:34:28	2019-11-05
06.11.2019	08:22:43	09:09:54	06:27:23	08:22:43	17:32:37	2019-11-06
07.11.2019	08:24:38	09:06:10	06:29:12	08:24:38	17:30:48	2019-11-07
08.11.2019	08:26:33	09:02:28	06:30:59	08:26:33	17:29:01	2019-11-08
09.11.2019	08:28:28	08:58:48	06:32:44	08:28:28	17:27:16	2019-11-09
10.11.2019	08:30:22	08:55:10	06:34:28	08:30:22	17:25:32	2019-11-10
11.11.2019	08:32:17	08:51:34	06:36:09	08:32:17	17:23:51	2019-11-11
