Datum deutsch	Nacht	Tag	Nacht	Sunrise Winterzeit	Sunset Winterzeit	Datum englisch
11.07.2019	03:58:20	16:42:26	03:19:14	03:58:20	20:40:46	2019-07-11
12.07.2019	03:59:30	16:40:19	03:20:11	03:59:30	20:39:49	2019-07-12
13.07.2019	04:00:43	16:38:06	03:21:11	04:00:43	20:38:49	2019-07-13
14.07.2019	04:01:58	16:35:49	03:22:13	04:01:58	20:37:47	2019-07-14
15.07.2019	04:03:14	16:33:27	03:23:19	04:03:14	20:36:41	2019-07-15
16.07.2019	04:04:33	16:31:00	03:24:27	04:04:33	20:35:33	2019-07-16
17.07.2019	04:05:53	16:28:29	03:25:38	04:05:53	20:34:22	2019-07-17
18.07.2019	04:07:16	16:25:52	03:26:52	04:07:16	20:33:08	2019-07-18
19.07.2019	04:08:39	16:23:12	03:28:09	04:08:39	20:31:51	2019-07-19
20.07.2019	04:10:05	16:20:27	03:29:28	04:10:05	20:30:32	2019-07-20
21.07.2019	04:11:32	16:17:39	03:30:49	04:11:32	20:29:11	2019-07-21
22.07.2019	04:13:00	16:14:46	03:32:14	04:13:00	20:27:46	2019-07-22
23.07.2019	04:14:30	16:11:49	03:33:41	04:14:30	20:26:19	2019-07-23
24.07.2019	04:16:01	16:08:49	03:35:10	04:16:01	20:24:50	2019-07-24
25.07.2019	04:17:33	16:05:46	03:36:41	04:17:33	20:23:19	2019-07-25
26.07.2019	04:19:07	16:02:38	03:38:15	04:19:07	20:21:45	2019-07-26
27.07.2019	04:20:41	15:59:28	03:39:51	04:20:41	20:20:09	2019-07-27
28.07.2019	04:22:17	15:56:14	03:41:29	04:22:17	20:18:31	2019-07-28
29.07.2019	04:23:53	15:52:58	03:43:09	04:23:53	20:16:51	2019-07-29
30.07.2019	04:25:31	15:49:37	03:44:52	04:25:31	20:15:08	2019-07-30
31.07.2019	04:27:09	15:46:15	03:46:36	04:27:09	20:13:24	2019-07-31
01.08.2019	04:28:48	15:42:50	03:48:22	04:28:48	20:11:38	2019-08-01
02.08.2019	04:30:28	15:39:22	03:50:10	04:30:28	20:09:50	2019-08-02
03.08.2019	04:32:08	15:35:52	03:52:00	04:32:08	20:08:00	2019-08-03
04.08.2019	04:33:49	15:32:19	03:53:52	04:33:49	20:06:08	2019-08-04
05.08.2019	04:35:30	15:28:45	03:55:45	04:35:30	20:04:15	2019-08-05
06.08.2019	04:37:12	15:25:08	03:57:40	04:37:12	20:02:20	2019-08-06
07.08.2019	04:38:55	15:21:28	03:59:37	04:38:55	20:00:23	2019-08-07
08.08.2019	04:40:37	15:17:48	04:01:35	04:40:37	19:58:25	2019-08-08
09.08.2019	04:42:21	15:14:04	04:03:35	04:42:21	19:56:25	2019-08-09
10.08.2019	04:44:04	15:10:20	04:05:36	04:44:04	19:54:24	2019-08-10
11.08.2019	04:45:48	15:06:33	04:07:39	04:45:48	19:52:21	2019-08-11
12.08.2019	04:47:32	15:02:45	04:09:43	04:47:32	19:50:17	2019-08-12
13.08.2019	04:49:17	14:58:55	04:11:48	04:49:17	19:48:12	2019-08-13
14.08.2019	04:51:01	14:55:04	04:13:55	04:51:01	19:46:05	2019-08-14
15.08.2019	04:52:46	14:51:11	04:16:03	04:52:46	19:43:57	2019-08-15
16.08.2019	04:54:31	14:47:17	04:18:12	04:54:31	19:41:48	2019-08-16
17.08.2019	04:56:16	14:43:22	04:20:22	04:56:16	19:39:38	2019-08-17
18.08.2019	04:58:01	14:39:26	04:22:33	04:58:01	19:37:27	2019-08-18
19.08.2019	04:59:46	14:35:29	04:24:45	04:59:46	19:35:15	2019-08-19
20.08.2019	05:01:31	14:31:30	04:26:59	05:01:31	19:33:01	2019-08-20
21.08.2019	05:03:17	14:27:30	04:29:13	05:03:17	19:30:47	2019-08-21
22.08.2019	05:05:02	14:23:30	04:31:28	05:05:02	19:28:32	2019-08-22
23.08.2019	05:06:47	14:19:29	04:33:44	05:06:47	19:26:16	2019-08-23
24.08.2019	05:08:33	14:15:26	04:36:01	05:08:33	19:23:59	2019-08-24
25.08.2019	05:10:18	14:11:23	04:38:19	05:10:18	19:21:41	2019-08-25
26.08.2019	05:12:03	14:07:19	04:40:38	05:12:03	19:19:22	2019-08-26
27.08.2019	05:13:49	14:03:14	04:42:57	05:13:49	19:17:03	2019-08-27
28.08.2019	05:15:34	13:59:09	04:45:17	05:15:34	19:14:43	2019-08-28
29.08.2019	05:17:19	13:55:03	04:47:38	05:17:19	19:12:22	2019-08-29
30.08.2019	05:19:05	13:50:55	04:50:00	05:19:05	19:10:00	2019-08-30
31.08.2019	05:20:50	13:46:48	04:52:22	05:20:50	19:07:38	2019-08-31
01.09.2019	05:22:35	13:42:41	04:54:44	05:22:35	19:05:16	2019-09-01
02.09.2019	05:24:20	13:38:33	04:57:07	05:24:20	19:02:53	2019-09-02
03.09.2019	05:26:05	13:34:24	04:59:31	05:26:05	19:00:29	2019-09-03
04.09.2019	05:27:50	13:30:15	05:01:55	05:27:50	18:58:05	2019-09-04
05.09.2019	05:29:35	13:26:05	05:04:20	05:29:35	18:55:40	2019-09-05
06.09.2019	05:31:20	13:21:55	05:06:45	05:31:20	18:53:15	2019-09-06
07.09.2019	05:33:05	13:17:45	05:09:10	05:33:05	18:50:50	2019-09-07
08.09.2019	05:34:50	13:13:34	05:11:36	05:34:50	18:48:24	2019-09-08
09.09.2019	05:36:35	13:09:23	05:14:02	05:36:35	18:45:58	2019-09-09
10.09.2019	05:38:20	13:05:11	05:16:29	05:38:20	18:43:31	2019-09-10
11.09.2019	05:40:05	13:01:00	05:18:55	05:40:05	18:41:05	2019-09-11
12.09.2019	05:41:50	12:56:48	05:21:22	05:41:50	18:38:38	2019-09-12
13.09.2019	05:43:35	12:52:36	05:23:49	05:43:35	18:36:11	2019-09-13
14.09.2019	05:45:20	12:48:23	05:26:17	05:45:20	18:33:43	2019-09-14
15.09.2019	05:47:05	12:44:11	05:28:44	05:47:05	18:31:16	2019-09-15
16.09.2019	05:48:50	12:39:58	05:31:12	05:48:50	18:28:48	2019-09-16
17.09.2019	05:50:35	12:35:45	05:33:40	05:50:35	18:26:20	2019-09-17
18.09.2019	05:52:20	12:31:33	05:36:07	05:52:20	18:23:53	2019-09-18
19.09.2019	05:54:05	12:27:20	05:38:35	05:54:05	18:21:25	2019-09-19
20.09.2019	05:55:51	12:23:06	05:41:03	05:55:51	18:18:57	2019-09-20
21.09.2019	05:57:36	12:18:53	05:43:31	05:57:36	18:16:29	2019-09-21
22.09.2019	05:59:22	12:14:40	05:45:58	05:59:22	18:14:02	2019-09-22
23.09.2019	06:01:08	12:10:26	05:48:26	06:01:08	18:11:34	2019-09-23
24.09.2019	06:02:54	12:06:12	05:50:54	06:02:54	18:09:06	2019-09-24
25.09.2019	06:04:40	12:01:59	05:53:21	06:04:40	18:06:39	2019-09-25
26.09.2019	06:06:26	11:57:46	05:55:48	06:06:26	18:04:12	2019-09-26
27.09.2019	06:08:12	11:53:33	05:58:15	06:08:12	18:01:45	2019-09-27
28.09.2019	06:09:59	11:49:19	06:00:42	06:09:59	17:59:18	2019-09-28
29.09.2019	06:11:46	11:45:05	06:03:09	06:11:46	17:56:51	2019-09-29
30.09.2019	06:13:33	11:40:52	06:05:35	06:13:33	17:54:25	2019-09-30
01.10.2019	06:15:20	11:36:39	06:08:01	06:15:20	17:51:59	2019-10-01
02.10.2019	06:17:08	11:32:25	06:10:27	06:17:08	17:49:33	2019-10-02
03.10.2019	06:18:55	11:28:13	06:12:52	06:18:55	17:47:08	2019-10-03
04.10.2019	06:20:43	11:24:00	06:15:17	06:20:43	17:44:43	2019-10-04
05.10.2019	06:22:32	11:19:47	06:17:41	06:22:32	17:42:19	2019-10-05
06.10.2019	06:24:20	11:15:35	06:20:05	06:24:20	17:39:55	2019-10-06
07.10.2019	06:26:09	11:11:22	06:22:29	06:26:09	17:37:31	2019-10-07
08.10.2019	06:27:58	11:07:10	06:24:52	06:27:58	17:35:08	2019-10-08
09.10.2019	06:29:48	11:02:58	06:27:14	06:29:48	17:32:46	2019-10-09
10.10.2019	06:31:37	10:58:47	06:29:36	06:31:37	17:30:24	2019-10-10
11.10.2019	06:33:27	10:54:36	06:31:57	06:33:27	17:28:03	2019-10-11
12.10.2019	06:35:18	10:50:24	06:34:18	06:35:18	17:25:42	2019-10-12
13.10.2019	06:37:09	10:46:13	06:36:38	06:37:09	17:23:22	2019-10-13
14.10.2019	06:39:00	10:42:03	06:38:57	06:39:00	17:21:03	2019-10-14
15.10.2019	06:40:51	10:37:54	06:41:15	06:40:51	17:18:45	2019-10-15
16.10.2019	06:42:42	10:33:45	06:43:33	06:42:42	17:16:27	2019-10-16
17.10.2019	06:44:34	10:29:37	06:45:49	06:44:34	17:14:11	2019-10-17
18.10.2019	06:46:27	10:25:28	06:48:05	06:46:27	17:11:55	2019-10-18
19.10.2019	06:48:19	10:21:21	06:50:20	06:48:19	17:09:40	2019-10-19
20.10.2019	06:50:12	10:17:14	06:52:34	06:50:12	17:07:26	2019-10-20
21.10.2019	06:52:05	10:13:08	06:54:47	06:52:05	17:05:13	2019-10-21
22.10.2019	06:53:59	10:09:02	06:56:59	06:53:59	17:03:01	2019-10-22
23.10.2019	06:55:52	10:04:58	06:59:10	06:55:52	17:00:50	2019-10-23
24.10.2019	06:57:46	10:00:54	07:01:20	06:57:46	16:58:40	2019-10-24
25.10.2019	06:59:41	09:56:51	07:03:28	06:59:41	16:56:32	2019-10-25
26.10.2019	07:01:35	09:52:49	07:05:36	07:01:35	16:54:24	2019-10-26
27.10.2019	07:03:30	09:48:48	07:07:42	07:03:30	16:52:18	2019-10-27
28.10.2019	07:05:25	09:44:49	07:09:46	07:05:25	16:50:14	2019-10-28
29.10.2019	07:07:20	09:40:50	07:11:50	07:07:20	16:48:10	2019-10-29
30.10.2019	07:09:15	09:36:53	07:13:52	07:09:15	16:46:08	2019-10-30
31.10.2019	07:11:10	09:32:58	07:15:52	07:11:10	16:44:08	2019-10-31
01.11.2019	07:13:06	09:29:02	07:17:52	07:13:06	16:42:08	2019-11-01
02.11.2019	07:15:01	09:25:10	07:19:49	07:15:01	16:40:11	2019-11-02
03.11.2019	07:16:57	09:21:18	07:21:45	07:16:57	16:38:15	2019-11-03
04.11.2019	07:18:52	09:17:29	07:23:39	07:18:52	16:36:21	2019-11-04
05.11.2019	07:20:48	09:13:40	07:25:32	07:20:48	16:34:28	2019-11-05
06.11.2019	07:22:43	09:09:54	07:27:23	07:22:43	16:32:37	2019-11-06
07.11.2019	07:24:38	09:06:10	07:29:12	07:24:38	16:30:48	2019-11-07
08.11.2019	07:26:33	09:02:28	07:30:59	07:26:33	16:29:01	2019-11-08
09.11.2019	07:28:28	08:58:48	07:32:44	07:28:28	16:27:16	2019-11-09
10.11.2019	07:30:22	08:55:10	07:34:28	07:30:22	16:25:32	2019-11-10
11.11.2019	07:32:17	08:51:34	07:36:09	07:32:17	16:23:51	2019-11-11
