Datum deutsch	Nacht	Tag	Nacht	Sunrise Winterzeit	Sunset Winterzeit	Datum englisch
23.04.2019	05:01:42	14:39:09	04:19:09	05:01:42	19:40:51	2019-04-23
24.04.2019	04:59:24	14:43:23	04:17:13	04:59:24	19:42:47	2019-04-24
25.04.2019	04:57:07	14:47:36	04:15:17	04:57:07	19:44:43	2019-04-25
26.04.2019	04:54:52	14:51:46	04:13:22	04:54:52	19:46:38	2019-04-26
27.04.2019	04:52:37	14:55:56	04:11:27	04:52:37	19:48:33	2019-04-27
28.04.2019	04:50:24	15:00:04	04:09:32	04:50:24	19:50:28	2019-04-28
29.04.2019	04:48:12	15:04:11	04:07:37	04:48:12	19:52:23	2019-04-29
30.04.2019	04:46:01	15:08:17	04:05:42	04:46:01	19:54:18	2019-04-30
01.05.2019	04:43:51	15:12:21	04:03:48	04:43:51	19:56:12	2019-05-01
02.05.2019	04:41:43	15:16:23	04:01:54	04:41:43	19:58:06	2019-05-02
03.05.2019	04:39:36	15:20:24	04:00:00	04:39:36	20:00:00	2019-05-03
04.05.2019	04:37:31	15:24:22	03:58:07	04:37:31	20:01:53	2019-05-04
05.05.2019	04:35:27	15:28:19	03:56:14	04:35:27	20:03:46	2019-05-05
06.05.2019	04:33:24	15:32:15	03:54:21	04:33:24	20:05:39	2019-05-06
07.05.2019	04:31:24	15:36:07	03:52:29	04:31:24	20:07:31	2019-05-07
08.05.2019	04:29:24	15:39:58	03:50:38	04:29:24	20:09:22	2019-05-08
09.05.2019	04:27:27	15:43:46	03:48:47	04:27:27	20:11:13	2019-05-09
10.05.2019	04:25:31	15:47:32	03:46:57	04:25:31	20:13:03	2019-05-10
11.05.2019	04:23:38	15:51:14	03:45:08	04:23:38	20:14:52	2019-05-11
12.05.2019	04:21:46	15:54:55	03:43:19	04:21:46	20:16:41	2019-05-12
13.05.2019	04:19:56	15:58:32	03:41:32	04:19:56	20:18:28	2019-05-13
14.05.2019	04:18:08	16:02:07	03:39:45	04:18:08	20:20:15	2019-05-14
15.05.2019	04:16:22	16:05:39	03:37:59	04:16:22	20:22:01	2019-05-15
16.05.2019	04:14:38	16:09:08	03:36:14	04:14:38	20:23:46	2019-05-16
17.05.2019	04:12:56	16:12:33	03:34:31	04:12:56	20:25:29	2019-05-17
18.05.2019	04:11:17	16:15:55	03:32:48	04:11:17	20:27:12	2019-05-18
19.05.2019	04:09:40	16:19:13	03:31:07	04:09:40	20:28:53	2019-05-19
20.05.2019	04:08:05	16:22:28	03:29:27	04:08:05	20:30:33	2019-05-20
21.05.2019	04:06:33	16:25:38	03:27:49	04:06:33	20:32:11	2019-05-21
22.05.2019	04:05:03	16:28:45	03:26:12	04:05:03	20:33:48	2019-05-22
23.05.2019	04:03:36	16:31:48	03:24:36	04:03:36	20:35:24	2019-05-23
24.05.2019	04:02:11	16:34:46	03:23:03	04:02:11	20:36:57	2019-05-24
25.05.2019	04:00:49	16:37:40	03:21:31	04:00:49	20:38:29	2019-05-25
26.05.2019	03:59:30	16:40:30	03:20:00	03:59:30	20:40:00	2019-05-26
27.05.2019	03:58:14	16:43:14	03:18:32	03:58:14	20:41:28	2019-05-27
28.05.2019	03:57:01	16:45:53	03:17:06	03:57:01	20:42:54	2019-05-28
29.05.2019	03:55:50	16:48:28	03:15:42	03:55:50	20:44:18	2019-05-29
30.05.2019	03:54:43	16:50:57	03:14:20	03:54:43	20:45:40	2019-05-30
31.05.2019	03:53:38	16:53:22	03:13:00	03:53:38	20:47:00	2019-05-31
01.06.2019	03:52:37	16:55:40	03:11:43	03:52:37	20:48:17	2019-06-01
02.06.2019	03:51:39	16:57:53	03:10:28	03:51:39	20:49:32	2019-06-02
03.06.2019	03:50:44	17:00:00	03:09:16	03:50:44	20:50:44	2019-06-03
04.06.2019	03:49:52	17:02:02	03:08:06	03:49:52	20:51:54	2019-06-04
05.06.2019	03:49:04	17:03:57	03:06:59	03:49:04	20:53:01	2019-06-05
06.06.2019	03:48:19	17:05:46	03:05:55	03:48:19	20:54:05	2019-06-06
07.06.2019	03:47:38	17:07:28	03:04:54	03:47:38	20:55:06	2019-06-07
08.06.2019	03:47:00	17:09:05	03:03:55	03:47:00	20:56:05	2019-06-08
09.06.2019	03:46:25	17:10:35	03:03:00	03:46:25	20:57:00	2019-06-09
10.06.2019	03:45:54	17:11:58	03:02:08	03:45:54	20:57:52	2019-06-10
11.06.2019	03:45:27	17:13:14	03:01:19	03:45:27	20:58:41	2019-06-11
12.06.2019	03:45:03	17:14:24	03:00:33	03:45:03	20:59:27	2019-06-12
13.06.2019	03:44:43	17:15:27	02:59:50	03:44:43	21:00:10	2019-06-13
14.06.2019	03:44:27	17:16:22	02:59:11	03:44:27	21:00:49	2019-06-14
15.06.2019	03:44:14	17:17:11	02:58:35	03:44:14	21:01:25	2019-06-15
16.06.2019	03:44:05	17:17:52	02:58:03	03:44:05	21:01:57	2019-06-16
17.06.2019	03:44:00	17:18:26	02:57:34	03:44:00	21:02:26	2019-06-17
18.06.2019	03:43:58	17:18:53	02:57:09	03:43:58	21:02:51	2019-06-18
19.06.2019	03:44:00	17:19:12	02:56:48	03:44:00	21:03:12	2019-06-19
20.06.2019	03:44:06	17:19:24	02:56:30	03:44:06	21:03:30	2019-06-20
21.06.2019	03:44:15	17:19:29	02:56:16	03:44:15	21:03:44	2019-06-21
22.06.2019	03:44:28	17:19:27	02:56:05	03:44:28	21:03:55	2019-06-22
23.06.2019	03:44:44	17:19:18	02:55:58	03:44:44	21:04:02	2019-06-23
24.06.2019	03:45:04	17:19:01	02:55:55	03:45:04	21:04:05	2019-06-24
25.06.2019	03:45:28	17:18:36	02:55:56	03:45:28	21:04:04	2019-06-25
26.06.2019	03:45:55	17:18:05	02:56:00	03:45:55	21:04:00	2019-06-26
27.06.2019	03:46:26	17:17:26	02:56:08	03:46:26	21:03:52	2019-06-27
28.06.2019	03:47:00	17:16:40	02:56:20	03:47:00	21:03:40	2019-06-28
29.06.2019	03:47:37	17:15:47	02:56:36	03:47:37	21:03:24	2019-06-29
30.06.2019	03:48:18	17:14:47	02:56:55	03:48:18	21:03:05	2019-06-30
01.07.2019	03:49:02	17:13:40	02:57:18	03:49:02	21:02:42	2019-07-01
02.07.2019	03:49:49	17:12:27	02:57:44	03:49:49	21:02:16	2019-07-02
03.07.2019	03:50:39	17:11:07	02:58:14	03:50:39	21:01:46	2019-07-03
04.07.2019	03:51:33	17:09:39	02:58:48	03:51:33	21:01:12	2019-07-04
05.07.2019	03:52:29	17:08:05	02:59:26	03:52:29	21:00:34	2019-07-05
06.07.2019	03:53:28	17:06:26	03:00:06	03:53:28	20:59:54	2019-07-06
07.07.2019	03:54:30	17:04:39	03:00:51	03:54:30	20:59:09	2019-07-07
08.07.2019	03:55:35	17:02:47	03:01:38	03:55:35	20:58:22	2019-07-08
09.07.2019	03:56:42	17:00:48	03:02:30	03:56:42	20:57:30	2019-07-09
10.07.2019	03:57:52	16:58:44	03:03:24	03:57:52	20:56:36	2019-07-10
11.07.2019	03:59:04	16:56:34	03:04:22	03:59:04	20:55:38	2019-07-11
12.07.2019	04:00:19	16:54:18	03:05:23	04:00:19	20:54:37	2019-07-12
13.07.2019	04:01:36	16:51:57	03:06:27	04:01:36	20:53:33	2019-07-13
14.07.2019	04:02:55	16:49:31	03:07:34	04:02:55	20:52:26	2019-07-14
15.07.2019	04:04:17	16:46:59	03:08:44	04:04:17	20:51:16	2019-07-15
16.07.2019	04:05:40	16:44:23	03:09:57	04:05:40	20:50:03	2019-07-16
17.07.2019	04:07:05	16:41:42	03:11:13	04:07:05	20:48:47	2019-07-17
18.07.2019	04:08:33	16:38:55	03:12:32	04:08:33	20:47:28	2019-07-18
19.07.2019	04:10:02	16:36:04	03:13:54	04:10:02	20:46:06	2019-07-19
20.07.2019	04:11:32	16:33:10	03:15:18	04:11:32	20:44:42	2019-07-20
21.07.2019	04:13:04	16:30:10	03:16:46	04:13:04	20:43:14	2019-07-21
22.07.2019	04:14:38	16:27:07	03:18:15	04:14:38	20:41:45	2019-07-22
23.07.2019	04:16:13	16:24:00	03:19:47	04:16:13	20:40:13	2019-07-23
24.07.2019	04:17:50	16:20:48	03:21:22	04:17:50	20:38:38	2019-07-24
25.07.2019	04:19:28	16:17:33	03:22:59	04:19:28	20:37:01	2019-07-25
26.07.2019	04:21:07	16:14:14	03:24:39	04:21:07	20:35:21	2019-07-26
27.07.2019	04:22:47	16:10:53	03:26:20	04:22:47	20:33:40	2019-07-27
28.07.2019	04:24:28	16:07:28	03:28:04	04:24:28	20:31:56	2019-07-28
29.07.2019	04:26:10	16:04:00	03:29:50	04:26:10	20:30:10	2019-07-29
30.07.2019	04:27:54	16:00:28	03:31:38	04:27:54	20:28:22	2019-07-30
31.07.2019	04:29:38	15:56:54	03:33:28	04:29:38	20:26:32	2019-07-31
01.08.2019	04:31:22	15:53:18	03:35:20	04:31:22	20:24:40	2019-08-01
02.08.2019	04:33:08	15:49:38	03:37:14	04:33:08	20:22:46	2019-08-02
03.08.2019	04:34:54	15:45:56	03:39:10	04:34:54	20:20:50	2019-08-03
04.08.2019	04:36:41	15:42:11	03:41:08	04:36:41	20:18:52	2019-08-04
05.08.2019	04:38:28	15:38:25	03:43:07	04:38:28	20:16:53	2019-08-05
06.08.2019	04:40:16	15:34:36	03:45:08	04:40:16	20:14:52	2019-08-06
07.08.2019	04:42:05	15:30:44	03:47:11	04:42:05	20:12:49	2019-08-07
08.08.2019	04:43:53	15:26:52	03:49:15	04:43:53	20:10:45	2019-08-08
09.08.2019	04:45:43	15:22:56	03:51:21	04:45:43	20:08:39	2019-08-09
10.08.2019	04:47:32	15:19:00	03:53:28	04:47:32	20:06:32	2019-08-10
11.08.2019	04:49:22	15:15:02	03:55:36	04:49:22	20:04:24	2019-08-11
12.08.2019	04:51:12	15:11:02	03:57:46	04:51:12	20:02:14	2019-08-12
13.08.2019	04:53:02	15:07:01	03:59:57	04:53:02	20:00:03	2019-08-13
14.08.2019	04:54:53	15:02:57	04:02:10	04:54:53	19:57:50	2019-08-14
15.08.2019	04:56:43	14:58:53	04:04:24	04:56:43	19:55:36	2019-08-15
16.08.2019	04:58:34	14:54:47	04:06:39	04:58:34	19:53:21	2019-08-16
17.08.2019	05:00:25	14:50:40	04:08:55	05:00:25	19:51:05	2019-08-17
18.08.2019	05:02:16	14:46:32	04:11:12	05:02:16	19:48:48	2019-08-18
19.08.2019	05:04:07	14:42:23	04:13:30	05:04:07	19:46:30	2019-08-19
20.08.2019	05:05:59	14:38:12	04:15:49	05:05:59	19:44:11	2019-08-20
21.08.2019	05:07:50	14:34:01	04:18:09	05:07:50	19:41:51	2019-08-21
22.08.2019	05:09:41	14:29:48	04:20:31	05:09:41	19:39:29	2019-08-22
23.08.2019	05:11:32	14:25:35	04:22:53	05:11:32	19:37:07	2019-08-23
24.08.2019	05:13:23	14:21:22	04:25:15	05:13:23	19:34:45	2019-08-24
25.08.2019	05:15:15	14:17:06	04:27:39	05:15:15	19:32:21	2019-08-25
26.08.2019	05:17:06	14:12:51	04:30:03	05:17:06	19:29:57	2019-08-26
27.08.2019	05:18:57	14:08:34	04:32:29	05:18:57	19:27:31	2019-08-27
28.08.2019	05:20:48	14:04:18	04:34:54	05:20:48	19:25:06	2019-08-28
29.08.2019	05:22:39	14:00:00	04:37:21	05:22:39	19:22:39	2019-08-29
30.08.2019	05:24:30	13:55:42	04:39:48	05:24:30	19:20:12	2019-08-30
31.08.2019	05:26:21	13:51:23	04:42:16	05:26:21	19:17:44	2019-08-31
01.09.2019	05:28:12	13:47:04	04:44:44	05:28:12	19:15:16	2019-09-01
02.09.2019	05:30:03	13:42:44	04:47:13	05:30:03	19:12:47	2019-09-02
03.09.2019	05:31:53	13:38:25	04:49:42	05:31:53	19:10:18	2019-09-03
04.09.2019	05:33:44	13:34:04	04:52:12	05:33:44	19:07:48	2019-09-04
05.09.2019	05:35:35	13:29:42	04:54:43	05:35:35	19:05:17	2019-09-05
06.09.2019	05:37:26	13:25:21	04:57:13	05:37:26	19:02:47	2019-09-06
07.09.2019	05:39:16	13:21:00	04:59:44	05:39:16	19:00:16	2019-09-07
08.09.2019	05:41:07	13:16:37	05:02:16	05:41:07	18:57:44	2019-09-08
09.09.2019	05:42:57	13:12:16	05:04:47	05:42:57	18:55:13	2019-09-09
10.09.2019	05:44:48	13:07:53	05:07:19	05:44:48	18:52:41	2019-09-10
11.09.2019	05:46:38	13:03:30	05:09:52	05:46:38	18:50:08	2019-09-11
12.09.2019	05:48:29	12:59:07	05:12:24	05:48:29	18:47:36	2019-09-12
13.09.2019	05:50:20	12:54:43	05:14:57	05:50:20	18:45:03	2019-09-13
14.09.2019	05:52:10	12:50:20	05:17:30	05:52:10	18:42:30	2019-09-14
15.09.2019	05:54:01	12:45:56	05:20:03	05:54:01	18:39:57	2019-09-15
16.09.2019	05:55:52	12:41:32	05:22:36	05:55:52	18:37:24	2019-09-16
17.09.2019	05:57:42	12:37:09	05:25:09	05:57:42	18:34:51	2019-09-17
18.09.2019	05:59:33	12:32:44	05:27:43	05:59:33	18:32:17	2019-09-18
19.09.2019	06:01:24	12:28:20	05:30:16	06:01:24	18:29:44	2019-09-19
20.09.2019	06:03:15	12:23:56	05:32:49	06:03:15	18:27:11	2019-09-20
21.09.2019	06:05:06	12:19:31	05:35:23	06:05:06	18:24:37	2019-09-21
22.09.2019	06:06:57	12:15:07	05:37:56	06:06:57	18:22:04	2019-09-22
23.09.2019	06:08:49	12:10:42	05:40:29	06:08:49	18:19:31	2019-09-23
24.09.2019	06:10:40	12:06:18	05:43:02	06:10:40	18:16:58	2019-09-24
25.09.2019	06:12:32	12:01:53	05:45:35	06:12:32	18:14:25	2019-09-25
26.09.2019	06:14:24	11:57:28	05:48:08	06:14:24	18:11:52	2019-09-26
27.09.2019	06:16:16	11:53:03	05:50:41	06:16:16	18:09:19	2019-09-27
28.09.2019	06:18:08	11:48:39	05:53:13	06:18:08	18:06:47	2019-09-28
29.09.2019	06:20:00	11:44:15	05:55:45	06:20:00	18:04:15	2019-09-29
30.09.2019	06:21:53	11:39:50	05:58:17	06:21:53	18:01:43	2019-09-30
01.10.2019	06:23:46	11:35:26	06:00:48	06:23:46	17:59:12	2019-10-01
02.10.2019	06:25:39	11:31:01	06:03:20	06:25:39	17:56:40	2019-10-02
03.10.2019	06:27:32	11:26:37	06:05:51	06:27:32	17:54:09	2019-10-03
04.10.2019	06:29:26	11:22:13	06:08:21	06:29:26	17:51:39	2019-10-04
05.10.2019	06:31:20	11:17:49	06:10:51	06:31:20	17:49:09	2019-10-05
06.10.2019	06:33:14	11:13:25	06:13:21	06:33:14	17:46:39	2019-10-06
07.10.2019	06:35:08	11:09:02	06:15:50	06:35:08	17:44:10	2019-10-07
08.10.2019	06:37:03	11:04:39	06:18:18	06:37:03	17:41:42	2019-10-08
09.10.2019	06:38:58	11:00:16	06:20:46	06:38:58	17:39:14	2019-10-09
10.10.2019	06:40:53	10:55:53	06:23:14	06:40:53	17:36:46	2019-10-10
11.10.2019	06:42:49	10:51:30	06:25:41	06:42:49	17:34:19	2019-10-11
12.10.2019	06:44:45	10:47:08	06:28:07	06:44:45	17:31:53	2019-10-12
13.10.2019	06:46:41	10:42:47	06:30:32	06:46:41	17:29:28	2019-10-13
14.10.2019	06:48:38	10:38:25	06:32:57	06:48:38	17:27:03	2019-10-14
15.10.2019	06:50:35	10:34:04	06:35:21	06:50:35	17:24:39	2019-10-15
16.10.2019	06:52:32	10:29:44	06:37:44	06:52:32	17:22:16	2019-10-16
17.10.2019	06:54:30	10:25:23	06:40:07	06:54:30	17:19:53	2019-10-17
18.10.2019	06:56:28	10:21:04	06:42:28	06:56:28	17:17:32	2019-10-18
19.10.2019	06:58:26	10:16:45	06:44:49	06:58:26	17:15:11	2019-10-19
20.10.2019	07:00:25	10:12:27	06:47:08	07:00:25	17:12:52	2019-10-20
21.10.2019	07:02:24	10:08:09	06:49:27	07:02:24	17:10:33	2019-10-21
22.10.2019	07:04:23	10:03:52	06:51:45	07:04:23	17:08:15	2019-10-22
23.10.2019	07:06:23	09:59:36	06:54:01	07:06:23	17:05:59	2019-10-23
24.10.2019	07:08:22	09:55:21	06:56:17	07:08:22	17:03:43	2019-10-24
25.10.2019	07:10:22	09:51:07	06:58:31	07:10:22	17:01:29	2019-10-25
26.10.2019	07:12:23	09:46:53	07:00:44	07:12:23	16:59:16	2019-10-26
27.10.2019	07:14:23	09:42:41	07:02:56	07:14:23	16:57:04	2019-10-27
28.10.2019	07:16:24	09:38:30	07:05:06	07:16:24	16:54:54	2019-10-28
29.10.2019	07:18:25	09:34:19	07:07:16	07:18:25	16:52:44	2019-10-29
30.10.2019	07:20:26	09:30:11	07:09:23	07:20:26	16:50:37	2019-10-30
31.10.2019	07:22:27	09:26:03	07:11:30	07:22:27	16:48:30	2019-10-31
01.11.2019	07:24:28	09:21:57	07:13:35	07:24:28	16:46:25	2019-11-01
02.11.2019	07:26:29	09:17:53	07:15:38	07:26:29	16:44:22	2019-11-02
03.11.2019	07:28:31	09:13:49	07:17:40	07:28:31	16:42:20	2019-11-03
04.11.2019	07:30:32	09:09:48	07:19:40	07:30:32	16:40:20	2019-11-04
05.11.2019	07:32:33	09:05:49	07:21:38	07:32:33	16:38:22	2019-11-05
06.11.2019	07:34:34	09:01:51	07:23:35	07:34:34	16:36:25	2019-11-06
07.11.2019	07:36:35	08:57:55	07:25:30	07:36:35	16:34:30	2019-11-07
08.11.2019	07:38:36	08:54:01	07:27:23	07:38:36	16:32:37	2019-11-08
09.11.2019	07:40:37	08:50:10	07:29:13	07:40:37	16:30:47	2019-11-09
10.11.2019	07:42:37	08:46:21	07:31:02	07:42:37	16:28:58	2019-11-10
11.11.2019	07:44:37	08:42:34	07:32:49	07:44:37	16:27:11	2019-11-11
