Datum deutsch	Nacht	Tag	Nacht	Sunrise Sommerzeit	Sunset Sommerzeit	Datum englisch
11.02.2019	08:53:26	09:26:52	05:39:42	08:53:26	18:20:18	2019-02-11
12.02.2019	08:51:21	09:31:03	05:37:36	08:51:21	18:22:24	2019-02-12
13.02.2019	08:49:14	09:35:15	05:35:31	08:49:14	18:24:29	2019-02-13
14.02.2019	08:47:06	09:39:28	05:33:26	08:47:06	18:26:34	2019-02-14
15.02.2019	08:44:56	09:43:44	05:31:20	08:44:56	18:28:40	2019-02-15
16.02.2019	08:42:45	09:48:00	05:29:15	08:42:45	18:30:45	2019-02-16
17.02.2019	08:40:33	09:52:17	05:27:10	08:40:33	18:32:50	2019-02-17
18.02.2019	08:38:20	09:56:34	05:25:06	08:38:20	18:34:54	2019-02-18
19.02.2019	08:36:06	10:00:53	05:23:01	08:36:06	18:36:59	2019-02-19
20.02.2019	08:33:50	10:05:13	05:20:57	08:33:50	18:39:03	2019-02-20
21.02.2019	08:31:33	10:09:34	05:18:53	08:31:33	18:41:07	2019-02-21
22.02.2019	08:29:16	10:13:54	05:16:50	08:29:16	18:43:10	2019-02-22
23.02.2019	08:26:57	10:18:17	05:14:46	08:26:57	18:45:14	2019-02-23
24.02.2019	08:24:38	10:22:39	05:12:43	08:24:38	18:47:17	2019-02-24
25.02.2019	08:22:17	10:27:03	05:10:40	08:22:17	18:49:20	2019-02-25
26.02.2019	08:19:56	10:31:26	05:08:38	08:19:56	18:51:22	2019-02-26
27.02.2019	08:17:33	10:35:52	05:06:35	08:17:33	18:53:25	2019-02-27
28.02.2019	08:15:10	10:40:17	05:04:33	08:15:10	18:55:27	2019-02-28
01.03.2019	08:12:47	10:44:41	05:02:32	08:12:47	18:57:28	2019-03-01
02.03.2019	08:10:22	10:49:08	05:00:30	08:10:22	18:59:30	2019-03-02
03.03.2019	08:07:57	10:53:34	04:58:29	08:07:57	19:01:31	2019-03-03
04.03.2019	08:05:31	10:58:00	04:56:29	08:05:31	19:03:31	2019-03-04
05.03.2019	08:03:05	11:02:27	04:54:28	08:03:05	19:05:32	2019-03-05
06.03.2019	08:00:38	11:06:54	04:52:28	08:00:38	19:07:32	2019-03-06
07.03.2019	07:58:10	11:11:22	04:50:28	07:58:10	19:09:32	2019-03-07
08.03.2019	07:55:42	11:15:49	04:48:29	07:55:42	19:11:31	2019-03-08
09.03.2019	07:53:14	11:20:17	04:46:29	07:53:14	19:13:31	2019-03-09
10.03.2019	07:50:45	11:24:45	04:44:30	07:50:45	19:15:30	2019-03-10
11.03.2019	07:48:15	11:29:14	04:42:31	07:48:15	19:17:29	2019-03-11
12.03.2019	07:45:46	11:33:41	04:40:33	07:45:46	19:19:27	2019-03-12
13.03.2019	07:43:15	11:38:10	04:38:35	07:43:15	19:21:25	2019-03-13
14.03.2019	07:40:45	11:42:38	04:36:37	07:40:45	19:23:23	2019-03-14
15.03.2019	07:38:14	11:47:07	04:34:39	07:38:14	19:25:21	2019-03-15
16.03.2019	07:35:43	11:51:36	04:32:41	07:35:43	19:27:19	2019-03-16
17.03.2019	07:33:12	11:56:04	04:30:44	07:33:12	19:29:16	2019-03-17
18.03.2019	07:30:40	12:00:34	04:28:46	07:30:40	19:31:14	2019-03-18
19.03.2019	07:28:09	12:05:02	04:26:49	07:28:09	19:33:11	2019-03-19
20.03.2019	07:25:37	12:09:31	04:24:52	07:25:37	19:35:08	2019-03-20
21.03.2019	07:23:05	12:13:59	04:22:56	07:23:05	19:37:04	2019-03-21
22.03.2019	07:20:33	12:18:28	04:20:59	07:20:33	19:39:01	2019-03-22
23.03.2019	07:18:01	12:22:57	04:19:02	07:18:01	19:40:58	2019-03-23
24.03.2019	07:15:29	12:27:25	04:17:06	07:15:29	19:42:54	2019-03-24
25.03.2019	07:12:57	12:31:53	04:15:10	07:12:57	19:44:50	2019-03-25
26.03.2019	07:10:25	12:36:21	04:13:14	07:10:25	19:46:46	2019-03-26
27.03.2019	07:07:53	12:40:50	04:11:17	07:07:53	19:48:43	2019-03-27
28.03.2019	07:05:21	12:45:18	04:09:21	07:05:21	19:50:39	2019-03-28
29.03.2019	07:02:49	12:49:46	04:07:25	07:02:49	19:52:35	2019-03-29
30.03.2019	07:00:18	12:54:12	04:05:30	07:00:18	19:54:30	2019-03-30
31.03.2019	06:57:46	12:58:40	04:03:34	06:57:46	19:56:26	2019-03-31
01.04.2019	06:55:15	13:03:07	04:01:38	06:55:15	19:58:22	2019-04-01
02.04.2019	06:52:44	13:07:34	03:59:42	06:52:44	20:00:18	2019-04-02
03.04.2019	06:50:13	13:12:01	03:57:46	06:50:13	20:02:14	2019-04-03
04.04.2019	06:47:43	13:16:27	03:55:50	06:47:43	20:04:10	2019-04-04
05.04.2019	06:45:13	13:20:52	03:53:55	06:45:13	20:06:05	2019-04-05
06.04.2019	06:42:43	13:25:18	03:51:59	06:42:43	20:08:01	2019-04-06
07.04.2019	06:40:13	13:29:44	03:50:03	06:40:13	20:09:57	2019-04-07
08.04.2019	06:37:44	13:34:09	03:48:07	06:37:44	20:11:53	2019-04-08
09.04.2019	06:35:16	13:38:33	03:46:11	06:35:16	20:13:49	2019-04-09
10.04.2019	06:32:48	13:42:57	03:44:15	06:32:48	20:15:45	2019-04-10
11.04.2019	06:30:20	13:47:21	03:42:19	06:30:20	20:17:41	2019-04-11
12.04.2019	06:27:53	13:51:43	03:40:24	06:27:53	20:19:36	2019-04-12
13.04.2019	06:25:27	13:56:05	03:38:28	06:25:27	20:21:32	2019-04-13
14.04.2019	06:23:01	14:00:27	03:36:32	06:23:01	20:23:28	2019-04-14
15.04.2019	06:20:36	14:04:48	03:34:36	06:20:36	20:25:24	2019-04-15
16.04.2019	06:18:11	14:09:09	03:32:40	06:18:11	20:27:20	2019-04-16
17.04.2019	06:15:47	14:13:29	03:30:44	06:15:47	20:29:16	2019-04-17
18.04.2019	06:13:24	14:17:48	03:28:48	06:13:24	20:31:12	2019-04-18
19.04.2019	06:11:02	14:22:06	03:26:52	06:11:02	20:33:08	2019-04-19
20.04.2019	06:08:40	14:26:24	03:24:56	06:08:40	20:35:04	2019-04-20
21.04.2019	06:06:20	14:30:40	03:23:00	06:06:20	20:37:00	2019-04-21
22.04.2019	06:04:00	14:34:56	03:21:04	06:04:00	20:38:56	2019-04-22
23.04.2019	06:01:42	14:39:09	03:19:09	06:01:42	20:40:51	2019-04-23
24.04.2019	05:59:24	14:43:23	03:17:13	05:59:24	20:42:47	2019-04-24
25.04.2019	05:57:07	14:47:36	03:15:17	05:57:07	20:44:43	2019-04-25
26.04.2019	05:54:52	14:51:46	03:13:22	05:54:52	20:46:38	2019-04-26
27.04.2019	05:52:37	14:55:56	03:11:27	05:52:37	20:48:33	2019-04-27
28.04.2019	05:50:24	15:00:04	03:09:32	05:50:24	20:50:28	2019-04-28
29.04.2019	05:48:12	15:04:11	03:07:37	05:48:12	20:52:23	2019-04-29
30.04.2019	05:46:01	15:08:17	03:05:42	05:46:01	20:54:18	2019-04-30
01.05.2019	05:43:51	15:12:21	03:03:48	05:43:51	20:56:12	2019-05-01
02.05.2019	05:41:43	15:16:23	03:01:54	05:41:43	20:58:06	2019-05-02
03.05.2019	05:39:36	15:20:24	03:00:00	05:39:36	21:00:00	2019-05-03
04.05.2019	05:37:31	15:24:22	02:58:07	05:37:31	21:01:53	2019-05-04
05.05.2019	05:35:27	15:28:19	02:56:14	05:35:27	21:03:46	2019-05-05
06.05.2019	05:33:24	15:32:15	02:54:21	05:33:24	21:05:39	2019-05-06
07.05.2019	05:31:24	15:36:07	02:52:29	05:31:24	21:07:31	2019-05-07
08.05.2019	05:29:24	15:39:58	02:50:38	05:29:24	21:09:22	2019-05-08
09.05.2019	05:27:27	15:43:46	02:48:47	05:27:27	21:11:13	2019-05-09
10.05.2019	05:25:31	15:47:32	02:46:57	05:25:31	21:13:03	2019-05-10
11.05.2019	05:23:38	15:51:14	02:45:08	05:23:38	21:14:52	2019-05-11
12.05.2019	05:21:46	15:54:55	02:43:19	05:21:46	21:16:41	2019-05-12
13.05.2019	05:19:56	15:58:32	02:41:32	05:19:56	21:18:28	2019-05-13
14.05.2019	05:18:08	16:02:07	02:39:45	05:18:08	21:20:15	2019-05-14
15.05.2019	05:16:22	16:05:39	02:37:59	05:16:22	21:22:01	2019-05-15
16.05.2019	05:14:38	16:09:08	02:36:14	05:14:38	21:23:46	2019-05-16
17.05.2019	05:12:56	16:12:33	02:34:31	05:12:56	21:25:29	2019-05-17
18.05.2019	05:11:17	16:15:55	02:32:48	05:11:17	21:27:12	2019-05-18
19.05.2019	05:09:40	16:19:13	02:31:07	05:09:40	21:28:53	2019-05-19
20.05.2019	05:08:05	16:22:28	02:29:27	05:08:05	21:30:33	2019-05-20
21.05.2019	05:06:33	16:25:38	02:27:49	05:06:33	21:32:11	2019-05-21
22.05.2019	05:05:03	16:28:45	02:26:12	05:05:03	21:33:48	2019-05-22
23.05.2019	05:03:36	16:31:48	02:24:36	05:03:36	21:35:24	2019-05-23
24.05.2019	05:02:11	16:34:46	02:23:03	05:02:11	21:36:57	2019-05-24
25.05.2019	05:00:49	16:37:40	02:21:31	05:00:49	21:38:29	2019-05-25
26.05.2019	04:59:30	16:40:30	02:20:00	04:59:30	21:40:00	2019-05-26
27.05.2019	04:58:14	16:43:14	02:18:32	04:58:14	21:41:28	2019-05-27
28.05.2019	04:57:01	16:45:53	02:17:06	04:57:01	21:42:54	2019-05-28
29.05.2019	04:55:50	16:48:28	02:15:42	04:55:50	21:44:18	2019-05-29
30.05.2019	04:54:43	16:50:57	02:14:20	04:54:43	21:45:40	2019-05-30
31.05.2019	04:53:38	16:53:22	02:13:00	04:53:38	21:47:00	2019-05-31
01.06.2019	04:52:37	16:55:40	02:11:43	04:52:37	21:48:17	2019-06-01
02.06.2019	04:51:39	16:57:53	02:10:28	04:51:39	21:49:32	2019-06-02
03.06.2019	04:50:44	17:00:00	02:09:16	04:50:44	21:50:44	2019-06-03
04.06.2019	04:49:52	17:02:02	02:08:06	04:49:52	21:51:54	2019-06-04
05.06.2019	04:49:04	17:03:57	02:06:59	04:49:04	21:53:01	2019-06-05
06.06.2019	04:48:19	17:05:46	02:05:55	04:48:19	21:54:05	2019-06-06
07.06.2019	04:47:38	17:07:28	02:04:54	04:47:38	21:55:06	2019-06-07
08.06.2019	04:47:00	17:09:05	02:03:55	04:47:00	21:56:05	2019-06-08
09.06.2019	04:46:25	17:10:35	02:03:00	04:46:25	21:57:00	2019-06-09
10.06.2019	04:45:54	17:11:58	02:02:08	04:45:54	21:57:52	2019-06-10
11.06.2019	04:45:27	17:13:14	02:01:19	04:45:27	21:58:41	2019-06-11
12.06.2019	04:45:03	17:14:24	02:00:33	04:45:03	21:59:27	2019-06-12
13.06.2019	04:44:43	17:15:27	01:59:50	04:44:43	22:00:10	2019-06-13
14.06.2019	04:44:27	17:16:22	01:59:11	04:44:27	22:00:49	2019-06-14
15.06.2019	04:44:14	17:17:11	01:58:35	04:44:14	22:01:25	2019-06-15
16.06.2019	04:44:05	17:17:52	01:58:03	04:44:05	22:01:57	2019-06-16
17.06.2019	04:44:00	17:18:26	01:57:34	04:44:00	22:02:26	2019-06-17
18.06.2019	04:43:58	17:18:53	01:57:09	04:43:58	22:02:51	2019-06-18
19.06.2019	04:44:00	17:19:12	01:56:48	04:44:00	22:03:12	2019-06-19
20.06.2019	04:44:06	17:19:24	01:56:30	04:44:06	22:03:30	2019-06-20
21.06.2019	04:44:15	17:19:29	01:56:16	04:44:15	22:03:44	2019-06-21
22.06.2019	04:44:28	17:19:27	01:56:05	04:44:28	22:03:55	2019-06-22
23.06.2019	04:44:44	17:19:18	01:55:58	04:44:44	22:04:02	2019-06-23
24.06.2019	04:45:04	17:19:01	01:55:55	04:45:04	22:04:05	2019-06-24
25.06.2019	04:45:28	17:18:36	01:55:56	04:45:28	22:04:04	2019-06-25
26.06.2019	04:45:55	17:18:05	01:56:00	04:45:55	22:04:00	2019-06-26
27.06.2019	04:46:26	17:17:26	01:56:08	04:46:26	22:03:52	2019-06-27
28.06.2019	04:47:00	17:16:40	01:56:20	04:47:00	22:03:40	2019-06-28
29.06.2019	04:47:37	17:15:47	01:56:36	04:47:37	22:03:24	2019-06-29
30.06.2019	04:48:18	17:14:47	01:56:55	04:48:18	22:03:05	2019-06-30
01.07.2019	04:49:02	17:13:40	01:57:18	04:49:02	22:02:42	2019-07-01
02.07.2019	04:49:49	17:12:27	01:57:44	04:49:49	22:02:16	2019-07-02
03.07.2019	04:50:39	17:11:07	01:58:14	04:50:39	22:01:46	2019-07-03
04.07.2019	04:51:33	17:09:39	01:58:48	04:51:33	22:01:12	2019-07-04
05.07.2019	04:52:29	17:08:05	01:59:26	04:52:29	22:00:34	2019-07-05
06.07.2019	04:53:28	17:06:26	02:00:06	04:53:28	21:59:54	2019-07-06
07.07.2019	04:54:30	17:04:39	02:00:51	04:54:30	21:59:09	2019-07-07
08.07.2019	04:55:35	17:02:47	02:01:38	04:55:35	21:58:22	2019-07-08
09.07.2019	04:56:42	17:00:48	02:02:30	04:56:42	21:57:30	2019-07-09
10.07.2019	04:57:52	16:58:44	02:03:24	04:57:52	21:56:36	2019-07-10
11.07.2019	04:59:04	16:56:34	02:04:22	04:59:04	21:55:38	2019-07-11
12.07.2019	05:00:19	16:54:18	02:05:23	05:00:19	21:54:37	2019-07-12
13.07.2019	05:01:36	16:51:57	02:06:27	05:01:36	21:53:33	2019-07-13
14.07.2019	05:02:55	16:49:31	02:07:34	05:02:55	21:52:26	2019-07-14
15.07.2019	05:04:17	16:46:59	02:08:44	05:04:17	21:51:16	2019-07-15
16.07.2019	05:05:40	16:44:23	02:09:57	05:05:40	21:50:03	2019-07-16
17.07.2019	05:07:05	16:41:42	02:11:13	05:07:05	21:48:47	2019-07-17
18.07.2019	05:08:33	16:38:55	02:12:32	05:08:33	21:47:28	2019-07-18
19.07.2019	05:10:02	16:36:04	02:13:54	05:10:02	21:46:06	2019-07-19
20.07.2019	05:11:32	16:33:10	02:15:18	05:11:32	21:44:42	2019-07-20
21.07.2019	05:13:04	16:30:10	02:16:46	05:13:04	21:43:14	2019-07-21
22.07.2019	05:14:38	16:27:07	02:18:15	05:14:38	21:41:45	2019-07-22
23.07.2019	05:16:13	16:24:00	02:19:47	05:16:13	21:40:13	2019-07-23
24.07.2019	05:17:50	16:20:48	02:21:22	05:17:50	21:38:38	2019-07-24
25.07.2019	05:19:28	16:17:33	02:22:59	05:19:28	21:37:01	2019-07-25
26.07.2019	05:21:07	16:14:14	02:24:39	05:21:07	21:35:21	2019-07-26
27.07.2019	05:22:47	16:10:53	02:26:20	05:22:47	21:33:40	2019-07-27
28.07.2019	05:24:28	16:07:28	02:28:04	05:24:28	21:31:56	2019-07-28
29.07.2019	05:26:10	16:04:00	02:29:50	05:26:10	21:30:10	2019-07-29
30.07.2019	05:27:54	16:00:28	02:31:38	05:27:54	21:28:22	2019-07-30
31.07.2019	05:29:38	15:56:54	02:33:28	05:29:38	21:26:32	2019-07-31
01.08.2019	05:31:22	15:53:18	02:35:20	05:31:22	21:24:40	2019-08-01
02.08.2019	05:33:08	15:49:38	02:37:14	05:33:08	21:22:46	2019-08-02
03.08.2019	05:34:54	15:45:56	02:39:10	05:34:54	21:20:50	2019-08-03
04.08.2019	05:36:41	15:42:11	02:41:08	05:36:41	21:18:52	2019-08-04
05.08.2019	05:38:28	15:38:25	02:43:07	05:38:28	21:16:53	2019-08-05
06.08.2019	05:40:16	15:34:36	02:45:08	05:40:16	21:14:52	2019-08-06
07.08.2019	05:42:05	15:30:44	02:47:11	05:42:05	21:12:49	2019-08-07
08.08.2019	05:43:53	15:26:52	02:49:15	05:43:53	21:10:45	2019-08-08
09.08.2019	05:45:43	15:22:56	02:51:21	05:45:43	21:08:39	2019-08-09
10.08.2019	05:47:32	15:19:00	02:53:28	05:47:32	21:06:32	2019-08-10
11.08.2019	05:49:22	15:15:02	02:55:36	05:49:22	21:04:24	2019-08-11
12.08.2019	05:51:12	15:11:02	02:57:46	05:51:12	21:02:14	2019-08-12
13.08.2019	05:53:02	15:07:01	02:59:57	05:53:02	21:00:03	2019-08-13
14.08.2019	05:54:53	15:02:57	03:02:10	05:54:53	20:57:50	2019-08-14
15.08.2019	05:56:43	14:58:53	03:04:24	05:56:43	20:55:36	2019-08-15
16.08.2019	05:58:34	14:54:47	03:06:39	05:58:34	20:53:21	2019-08-16
17.08.2019	06:00:25	14:50:40	03:08:55	06:00:25	20:51:05	2019-08-17
18.08.2019	06:02:16	14:46:32	03:11:12	06:02:16	20:48:48	2019-08-18
19.08.2019	06:04:07	14:42:23	03:13:30	06:04:07	20:46:30	2019-08-19
20.08.2019	06:05:59	14:38:12	03:15:49	06:05:59	20:44:11	2019-08-20
21.08.2019	06:07:50	14:34:01	03:18:09	06:07:50	20:41:51	2019-08-21
22.08.2019	06:09:41	14:29:48	03:20:31	06:09:41	20:39:29	2019-08-22
23.08.2019	06:11:32	14:25:35	03:22:53	06:11:32	20:37:07	2019-08-23
24.08.2019	06:13:23	14:21:22	03:25:15	06:13:23	20:34:45	2019-08-24
25.08.2019	06:15:15	14:17:06	03:27:39	06:15:15	20:32:21	2019-08-25
26.08.2019	06:17:06	14:12:51	03:30:03	06:17:06	20:29:57	2019-08-26
27.08.2019	06:18:57	14:08:34	03:32:29	06:18:57	20:27:31	2019-08-27
28.08.2019	06:20:48	14:04:18	03:34:54	06:20:48	20:25:06	2019-08-28
29.08.2019	06:22:39	14:00:00	03:37:21	06:22:39	20:22:39	2019-08-29
30.08.2019	06:24:30	13:55:42	03:39:48	06:24:30	20:20:12	2019-08-30
31.08.2019	06:26:21	13:51:23	03:42:16	06:26:21	20:17:44	2019-08-31
01.09.2019	06:28:12	13:47:04	03:44:44	06:28:12	20:15:16	2019-09-01
02.09.2019	06:30:03	13:42:44	03:47:13	06:30:03	20:12:47	2019-09-02
03.09.2019	06:31:53	13:38:25	03:49:42	06:31:53	20:10:18	2019-09-03
04.09.2019	06:33:44	13:34:04	03:52:12	06:33:44	20:07:48	2019-09-04
05.09.2019	06:35:35	13:29:42	03:54:43	06:35:35	20:05:17	2019-09-05
06.09.2019	06:37:26	13:25:21	03:57:13	06:37:26	20:02:47	2019-09-06
07.09.2019	06:39:16	13:21:00	03:59:44	06:39:16	20:00:16	2019-09-07
08.09.2019	06:41:07	13:16:37	04:02:16	06:41:07	19:57:44	2019-09-08
09.09.2019	06:42:57	13:12:16	04:04:47	06:42:57	19:55:13	2019-09-09
10.09.2019	06:44:48	13:07:53	04:07:19	06:44:48	19:52:41	2019-09-10
11.09.2019	06:46:38	13:03:30	04:09:52	06:46:38	19:50:08	2019-09-11
12.09.2019	06:48:29	12:59:07	04:12:24	06:48:29	19:47:36	2019-09-12
13.09.2019	06:50:20	12:54:43	04:14:57	06:50:20	19:45:03	2019-09-13
14.09.2019	06:52:10	12:50:20	04:17:30	06:52:10	19:42:30	2019-09-14
15.09.2019	06:54:01	12:45:56	04:20:03	06:54:01	19:39:57	2019-09-15
16.09.2019	06:55:52	12:41:32	04:22:36	06:55:52	19:37:24	2019-09-16
17.09.2019	06:57:42	12:37:09	04:25:09	06:57:42	19:34:51	2019-09-17
18.09.2019	06:59:33	12:32:44	04:27:43	06:59:33	19:32:17	2019-09-18
19.09.2019	07:01:24	12:28:20	04:30:16	07:01:24	19:29:44	2019-09-19
20.09.2019	07:03:15	12:23:56	04:32:49	07:03:15	19:27:11	2019-09-20
21.09.2019	07:05:06	12:19:31	04:35:23	07:05:06	19:24:37	2019-09-21
22.09.2019	07:06:57	12:15:07	04:37:56	07:06:57	19:22:04	2019-09-22
23.09.2019	07:08:49	12:10:42	04:40:29	07:08:49	19:19:31	2019-09-23
24.09.2019	07:10:40	12:06:18	04:43:02	07:10:40	19:16:58	2019-09-24
25.09.2019	07:12:32	12:01:53	04:45:35	07:12:32	19:14:25	2019-09-25
26.09.2019	07:14:24	11:57:28	04:48:08	07:14:24	19:11:52	2019-09-26
27.09.2019	07:16:16	11:53:03	04:50:41	07:16:16	19:09:19	2019-09-27
28.09.2019	07:18:08	11:48:39	04:53:13	07:18:08	19:06:47	2019-09-28
29.09.2019	07:20:00	11:44:15	04:55:45	07:20:00	19:04:15	2019-09-29
30.09.2019	07:21:53	11:39:50	04:58:17	07:21:53	19:01:43	2019-09-30
01.10.2019	07:23:46	11:35:26	05:00:48	07:23:46	18:59:12	2019-10-01
02.10.2019	07:25:39	11:31:01	05:03:20	07:25:39	18:56:40	2019-10-02
03.10.2019	07:27:32	11:26:37	05:05:51	07:27:32	18:54:09	2019-10-03
04.10.2019	07:29:26	11:22:13	05:08:21	07:29:26	18:51:39	2019-10-04
05.10.2019	07:31:20	11:17:49	05:10:51	07:31:20	18:49:09	2019-10-05
06.10.2019	07:33:14	11:13:25	05:13:21	07:33:14	18:46:39	2019-10-06
07.10.2019	07:35:08	11:09:02	05:15:50	07:35:08	18:44:10	2019-10-07
08.10.2019	07:37:03	11:04:39	05:18:18	07:37:03	18:41:42	2019-10-08
09.10.2019	07:38:58	11:00:16	05:20:46	07:38:58	18:39:14	2019-10-09
10.10.2019	07:40:53	10:55:53	05:23:14	07:40:53	18:36:46	2019-10-10
11.10.2019	07:42:49	10:51:30	05:25:41	07:42:49	18:34:19	2019-10-11
12.10.2019	07:44:45	10:47:08	05:28:07	07:44:45	18:31:53	2019-10-12
13.10.2019	07:46:41	10:42:47	05:30:32	07:46:41	18:29:28	2019-10-13
14.10.2019	07:48:38	10:38:25	05:32:57	07:48:38	18:27:03	2019-10-14
15.10.2019	07:50:35	10:34:04	05:35:21	07:50:35	18:24:39	2019-10-15
16.10.2019	07:52:32	10:29:44	05:37:44	07:52:32	18:22:16	2019-10-16
17.10.2019	07:54:30	10:25:23	05:40:07	07:54:30	18:19:53	2019-10-17
18.10.2019	07:56:28	10:21:04	05:42:28	07:56:28	18:17:32	2019-10-18
19.10.2019	07:58:26	10:16:45	05:44:49	07:58:26	18:15:11	2019-10-19
20.10.2019	08:00:25	10:12:27	05:47:08	08:00:25	18:12:52	2019-10-20
21.10.2019	08:02:24	10:08:09	05:49:27	08:02:24	18:10:33	2019-10-21
22.10.2019	08:04:23	10:03:52	05:51:45	08:04:23	18:08:15	2019-10-22
23.10.2019	08:06:23	09:59:36	05:54:01	08:06:23	18:05:59	2019-10-23
24.10.2019	08:08:22	09:55:21	05:56:17	08:08:22	18:03:43	2019-10-24
25.10.2019	08:10:22	09:51:07	05:58:31	08:10:22	18:01:29	2019-10-25
26.10.2019	08:12:23	09:46:53	06:00:44	08:12:23	17:59:16	2019-10-26
27.10.2019	08:14:23	09:42:41	06:02:56	08:14:23	17:57:04	2019-10-27
28.10.2019	08:16:24	09:38:30	06:05:06	08:16:24	17:54:54	2019-10-28
29.10.2019	08:18:25	09:34:19	06:07:16	08:18:25	17:52:44	2019-10-29
30.10.2019	08:20:26	09:30:11	06:09:23	08:20:26	17:50:37	2019-10-30
31.10.2019	08:22:27	09:26:03	06:11:30	08:22:27	17:48:30	2019-10-31
01.11.2019	08:24:28	09:21:57	06:13:35	08:24:28	17:46:25	2019-11-01
02.11.2019	08:26:29	09:17:53	06:15:38	08:26:29	17:44:22	2019-11-02
03.11.2019	08:28:31	09:13:49	06:17:40	08:28:31	17:42:20	2019-11-03
04.11.2019	08:30:32	09:09:48	06:19:40	08:30:32	17:40:20	2019-11-04
05.11.2019	08:32:33	09:05:49	06:21:38	08:32:33	17:38:22	2019-11-05
06.11.2019	08:34:34	09:01:51	06:23:35	08:34:34	17:36:25	2019-11-06
07.11.2019	08:36:35	08:57:55	06:25:30	08:36:35	17:34:30	2019-11-07
08.11.2019	08:38:36	08:54:01	06:27:23	08:38:36	17:32:37	2019-11-08
09.11.2019	08:40:37	08:50:10	06:29:13	08:40:37	17:30:47	2019-11-09
10.11.2019	08:42:37	08:46:21	06:31:02	08:42:37	17:28:58	2019-11-10
11.11.2019	08:44:37	08:42:34	06:32:49	08:44:37	17:27:11	2019-11-11
